Name of Institutions,Year,Gender,Basic Certificate,Certificate,Ordinary Diploma,Advanced/ Higher Diploma,Bachelor,Post Graduate Diploma,Masters,Doctorate
Arch Bishop James University College,2015/2016,Male,0,0,0,0,926,0,0,0
Aga Khan University,2015/2016,Male,0,0,0,0,33,0,34,0
ALSUMAIT,2015/2016,Male,0,0,0,0,630,0,0,0
Archbishop Mihayo University College of Tabora,2015/2016,Male,0,10,1,0,1254,9,36,0
Ardhi University,2015/2016,Male,0,0,10,0,2399,0,203,28
Cardinal Rugambwa Memorial University College,2015/2016,Male,0,0,0,0,0,0,0,0
Catholic University of Health and Allied Sciences,2015/2016,Male,0,0,367,0,914,0,72,6
Dar es Salaam University College of Education,2015/2016,Male,0,0,0,0,2615,13,0,0
Eckernforde Tanga University,2015/2016,Male,0,16,603,0,241,0,72,6
Hubert Kairuki Memorial University,2015/2016,Male,0,20,27,473,0,0,24,0
International Medical and Technological University and,2015/2016,Male,0,0,1,0,645,4,0,0
"Jomo Kenyatta University of Agriculture and Technology, Arusha Centre",2015/2016,Male,0,34,76,0,17,8,0,0
Josiah Kibira University College,2015/2016,Male,0,6,5,0,512,0,0,0
Jordan University College,2015/2016,Male,81,0,133,0,1645,0,140,0
Kilimanjaro Christian Medical College,2015/2016,Male,0,0,38,0,917,0,104,12
Kampala International University (Dar es Salaam Constituent College),2015/2016,Male,0,243,231,0,782,5,58,0
Marian University College,2015/2016,Male,0,0,0,0,251,0,0,0
Mount Meru University M,2015/2016,Male,0,12,552,0,398,0,61,0
Moshi Cooperative University,2015/2016,Male,20,170,579,0,1119,31,122,0
Mzumbe University,2015/2016,Male,0,97,285,0,3898,0,1564,36
Mzumbe University Mbeya Campus,2015/2016,Male,0,52,268,0,908,0,89,0
Mkwawa University College of Education,2015/2016,Male,0,0,0,0,2740,4,0,0
Muhimbili University of Health & Allied Sciences,2015/2016,Male,0,0,721,9,1474,0,423,17
Muslim University of Morogoro,2015/2016,Male,0,134,48,0,1249,0,0,0
Mbeya University of Science and Technology,2015/2016,Male,354,347,459,0,1960,0,0,0
Mwenge Catholic University,2015/2016,Male,0,29,83,0,2399,13,37,7
Nelson Mandela African Institute of Science and Technology,2015/2016,Male,0,0,0,0,0,0,91,94
Open University of Tanzania,2015/2016,Male,0,1722,760,,5811,220,858,0
Ruaha Catholic University,2015/2016,Male,0,227,386,0,2274,0,168,0
St. Augustine University of Tanzania,2015/2016,Male,0,77,71,83,3925,6,211,19
Sebastian Kolowa Memorial University,2015/2016,Male,0,0,0,0,780,0,0,0
St. Francis University College of Health and Allied Sciences,2015/2016,Male,0,95,131,0,574,0,0,0
SJCAST,2015/2016,Male,,,,,,,,
SJCET,2015/2016,Male,0,48,452,0,640,0,0,0
SJCHS,2015/2016,Male,0,0,0,0,307,0,0,0
SJCIT,2015/2016,Male,,,,,,,,
SJCMF,2015/2016,Male,0,0,0,0,35,0,0,0
"St. Joseph University in Tanzania, Arusha Campus",2015/2016,Male,,,,,,,,
St. John's University of Tanzania,2015/2016,Male,0,165,140,0,1815,0,65,0
Stefano Moshi Memorial University College,2015/2016,Male,0,98,91,0,863,10,5,
STEMUCo,2015/2016,Male,0,34,119,0,858,0,58,0
Sokoine University of Agriculture,2015/2016,Male,0,16,312,0,4954,21,314,169
State University of Zanzibar,2015/2016,Male,0,39,0,617,1071,0,0,0
Teofilo Kisanji University,2015/2016,Male,0,0,0,0,4111,23,81,0
TUDARCO,2015/2016,Male,0,36,90,0,694,0,34,0
Tumaini University Makumira,2015/2016,Male,0,32,72,0,1702,16,57,5
United African University of Tanzania,2015/2016,Male,0,0,0,0,42,0,0,0
University of Dodoma,2015/2016,Male,0,37,7571,0,13716,30,532,117
University of Dar es Salaam,2015/2016,Male,0,128,78,0,15576,20,363,55
University of Arusha,2015/2016,Male,0,48,184,0,1049,35,47,0
University of Bagamoyo,2015/2016,Male,2,2,4,0,429,0,14,0
University of Iringa,2015/2016,Male,0,150,653,0,1509,19,99,0
Zanzibar University,2015/2016,Male,0,0,0,0,1529,0,0,0
Arch Bishop James University College,2015/2016,Female,0,0,0,0,324,0,0,0
Aga Khan University,2015/2016,Female,0,0,0,0,6,0,27,0
ALSUMAIT,2015/2016,Female,0,0,0,0,1139,0,0,0
Archbishop Mihayo University College of Tabora,2015/2016,Female,0,16,12,0,421,4,18,0
Ardhi University,2015/2016,Female,0,0,5,0,1389,0,81,8
Cardinal Rugambwa Memorial University College,2015/2016,Female,0,0,0,0,0,0,0,0
Catholic University of Health and Allied Sciences,2015/2016,Female,0,0,240,0,658,0,41,6
Dar es Salaam University College of Education,2015/2016,Female,0,0,0,0,1266,30,0,0
Eckernforde Tanga University,2015/2016,Female,0,12,402,0,104,0,41,6
Hubert Kairuki Memorial University,2015/2016,Female,3,28,31,518,0,0,19,0
International Medical and Technological University and,2015/2016,Female,0,2,0,0,381,1,0,0
"Jomo Kenyatta University of Agriculture and Technology, Arusha Centre",2015/2016,Female,0,25,48,0,9,11,0,0
Josiah Kibira University College,2015/2016,Female,0,9,3,0,152,0,0,0
Jordan University College,2015/2016,Female,117,0,144,0,1069,0,88,0
Kilimanjaro Christian Medical College,2015/2016,Female,0,0,77,0,585,0,55,12
Kampala International University (Dar es Salaam Constituent College),2015/2016,Female,0,180,156,0,520,3,21,0
Marian University College,2015/2016,Female,0,0,0,0,82,0,0,0
Mount Meru University M,2015/2016,Female,0,17,712,0,285,0,37,0
Moshi Cooperative University,2015/2016,Female,19,174,581,0,814,13,62,0
Mzumbe University,2015/2016,Female,0,83,334,0,3673,0,1301,11
Mzumbe University Mbeya Campus,2015/2016,Female,0,39,316,0,847,0,46,0
Mkwawa University College of Education,2015/2016,Female,0,0,0,0,881,7,0,0
Muhimbili University of Health & Allied Sciences,2015/2016,Female,0,0,419,12,644,0,254,10
Muslim University of Morogoro,2015/2016,Female,0,111,38,0,965,0,0,0
Mbeya University of Science and Technology,2015/2016,Female,86,82,197,0,258,0,0,0
Mwenge Catholic University,2015/2016,Female,0,37,62,0,870,6,34,3
Nelson Mandela African Institute of Science and Technology,2015/2016,Female,0,0,0,0,0,0,33,31
Open University of Tanzania,2015/2016,Female,0,894,518,,3315,111,385,0
Ruaha Catholic University,2015/2016,Female,0,218,306,0,1132,0,85,0
St. Augustine University of Tanzania,2015/2016,Female,0,96,92,49,2280,3,144,6
Sebastian Kolowa Memorial University,2015/2016,Female,0,0,0,0,473,0,0,0
St. Francis University College of Health and Allied Sciences,2015/2016,Female,0,38,45,0,227,0,0,0
SJCAST,2015/2016,Female,,,,,,,,
SJCET,2015/2016,Female,0,13,57,0,143,0,0,0
SJCHS,2015/2016,Female,0,0,0,0,173,0,0,0
SJCIT,2015/2016,Female,,,,,,,,
SJCMF,2015/2016,Female,0,0,0,0,14,0,0,0
"St. Joseph University in Tanzania, Arusha Campus",2015/2016,Female,,,,,,,,
St. John's University of Tanzania,2015/2016,Female,0,100,203,0,1188,0,46,0
Stefano Moshi Memorial University College,2015/2016,Female,0,20,126,0,529,11,5,
STEMUCo,2015/2016,Female,0,42,127,0,323,0,32,0
Sokoine University of Agriculture,2015/2016,Female,0,10,140,0,2017,22,159,44
State University of Zanzibar,2015/2016,Female,0,27,0,307,749,0,0,0
Teofilo Kisanji University,2015/2016,Female,0,0,0,0,2433,8,36,0
TUDARCO,2015/2016,Female,0,54,111,0,867,0,58,0
Tumaini University Makumira,2015/2016,Female,0,33,84,0,1039,13,65,1
United African University of Tanzania,2015/2016,Female,0,0,0,0,9,0,0,0
University of Dodoma,2015/2016,Female,0,39,1673,0,5422,39,204,37
University of Dar es Salaam,2015/2016,Female,0,52,3,0,7519,20,590,121
University of Arusha,2015/2016,Female,0,30,147,0,685,30,13,0
University of Bagamoyo,2015/2016,Female,5,3,9,0,211,0,2,0
University of Iringa,2015/2016,Female,0,89,529,0,1055,9,90,0
Zanzibar University,2015/2016,Female,0,0,0,0,1719,0,0,0
